eccentricity,omega,best_time_shift,best_phase_shift,mismatch
0.01625400618936264,9.92017670453849,4.0,2.8410300390327405,0.0005844414986259094
0.01747305665356484,9.919675016220882,4.0,2.8375744228232986,0.0005450351107765261
0.01869210711776704,9.919163607774708,4.0,2.8330920564548743,0.0005123568026387249
0.019911157581969235,9.918608607744945,4.0,2.828606198964041,0.0004869579945047109
0.021130208046171432,9.918026827263018,4.0,2.823478818287273,0.00046892187116709394
0.022349258510373633,9.917392533965106,4.0,2.8186599037814624,0.00045953955687949577
0.02356830897457583,9.916728445942635,4.0,2.813580731663959,0.00045840534441121683
0.02478735943877803,9.916041293305017,3.0,2.832710135125673,0.000459000798474718
0.026006409902980226,9.915319463092866,3.0,2.82646299323234,0.00046355570048228767
0.027225460367182423,9.914542191204678,3.0,2.820809736402152,0.0004780827744215177
0.028444510831384624,9.913731521302925,3.0,2.814771493497738,0.0005033289948954689
0.02966356129558682,9.91291635717078,3.0,2.807374167628431,0.0005393302463291283
0.03088261175978902,9.912040195199094,2.0,2.8255010752028262,0.0005831416764691122
0.03210166222399122,9.911148507791749,2.0,2.817877285774773,0.0006272452026293562
0.033320712688193414,9.910199467988523,2.0,2.8105513085642784,0.0006843291428272336
0.03453976315239561,9.909223801402318,2.0,2.8027579261855142,0.0007554339164170809
0.035758813616597815,9.90820675282974,1.0,2.8198582084417314,0.0008414572196812076
0.036977864080800005,9.90716287863729,1.0,2.8115568261018793,0.0009229809849102821
0.03819691454500221,9.906085780410256,1.0,2.8026791030015707,0.001020265400534237
0.039415965009204405,9.904966237654634,1.0,2.793960248230489,0.0011348703457769727
0.0406350154734066,9.903806525729046,0.0,2.810083496002188,0.0012609047950447039
